Time,Mid-Price,OrderBook_Bid,OrderBook_Ask
0,66333.41,66294.64,66372.18
0.0000417,66333.41,66294.64,66372.18
0.0000833,66335.69,66294.64,66376.74
0.000125,66338.815,66294.64,66382.99
0.000166667,66333.37,66294.64,66372.1
0.000208333,66333.37,66294.64,66372.1
0.00025,66333.37,66294.64,66372.1
0.000291667,66332.27,66294.64,66369.9
0.000333333,66332.27,66294.64,66369.9
0.000375,66325.83,66294.64,66357.02
0.000416667,66325.76,66294.64,66356.88
0.000458333,66327.76,66296.79,66358.73
0.0005,66329.69,66296.79,66362.59
0.000541667,66329.69,66296.79,66362.59
0.000583333,66330.625,66296.79,66364.46
0.000625,66330.555,66296.79,66364.32
0.000666667,66330.555,66296.79,66364.32
0.000708333,66330.48,66296.79,66364.17
0.00075,66330.41,66296.79,66364.03
0.000791667,66330.405,66296.79,66364.02
0.000833333,66330.33,66296.79,66363.87
0.000875,66331.26,66296.79,66365.73
0.000916667,66331.19,66296.79,66365.59
0.000958333,66331.115,66296.79,66365.44
0.001,66331.115,66296.79,66365.44
0.001041667,66352.09,66321.73,66382.45
0.001083333,66352.325,66321.73,66382.92
0.001125,66342.605,66296.79,66388.42
0.001166667,66342.53,66296.79,66388.27
0.001208333,66342.53,66296.79,66388.27
0.00125,66342.45,66296.79,66388.11
0.001291667,66342.45,66296.79,66388.11
0.001333333,66342.37,66296.79,66387.95
0.001375,66341.555,66296.79,66386.32
0.001416667,66341.555,66296.79,66386.32
0.001458333,66333.41,66296.79,66370.03
0.0015,66333.41,66296.79,66370.03
0.001541667,66333.41,66296.79,66370.03
0.001583333,66332.175,66296.79,66367.56
0.001625,66329.19,66296.79,66361.59
0.001666667,66329.12,66296.79,66361.45
0.001708333,66329.12,66296.79,66361.45
0.00175,66329.035,66296.79,66361.28
0.001791667,66315.15,66276.09,66354.21
0.001833333,66318.685,66276.09,66361.28
0.001875,66318.685,66276.09,66361.28
0.001916667,66314.535,66276.09,66352.98
0.001958333,66314.465,66276.09,66352.84
0.002,66310.035,66276.09,66343.98
0.002041667,66327.925,66276.09,66379.76
0.002083333,66328.825,66276.09,66381.56
